tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0099080,movie,Baaghi: A Rebel for Love,Baaghi: A Rebel for Love,0,1990,\N,157,"Action,Drama,Romance"
tt0100095,movie,Maine Pyar Kiya,Maine Pyar Kiya,0,1989,\N,192,"Drama,Musical,Romance"
tt0101732,movie,Dil Aashna Hai (...The Heart Knows),Dil Aashna Hai (...The Heart Knows),0,1992,\N,164,"Drama,Romance"
tt0102645,movie,Patthar Ke Phool,Patthar Ke Phool,0,1991,\N,155,"Action,Drama,Romance"
tt0102746,movie,Kurbaan,Kurbaan,0,1991,\N,133,"Action,Drama,Romance"
tt0102825,movie,Saajan,Saajan,0,1991,\N,193,"Drama,Musical,Romance"
tt0102835,movie,Sanam Bewafa,Sanam Bewafa,0,1991,\N,160,"Drama,Romance"
tt0104478,tvMiniSeries,Idiot,Idiot,0,1991,\N,223,Drama
tt0105007,movie,Nishchaiy,Nishchaiy,0,1992,\N,146,"Action,Drama,Romance"
tt0105500,movie,Suryavanshi,Suryavanshi,0,1992,\N,161,"Action,Fantasy,Horror"
tt0106333,movie,Baazigar,Baazigar,0,1993,\N,175,"Crime,Drama,Musical"
tt0106541,movie,Chandra Mukhi,Chandra Mukhi,0,1993,\N,152,"Comedy,Fantasy,Romance"
tt0106725,movie,Dil Tera Aashiq,Dil Tera Aashiq,0,1993,\N,151,"Comedy,Drama,Romance"
tt0107249,movie,Jaagruti,Jaagruti,0,1993,\N,134,"Action,Drama"
tt0107321,movie,King Uncle,King Uncle,0,1993,\N,171,"Comedy,Drama,Family"
tt0109117,movie,Andaz Apna Apna,Andaz Apna Apna,0,1994,\N,160,"Action,Comedy,Romance"
tt0109134,movie,Anjaam,Anjaam,0,1994,\N,170,"Crime,Drama,Thriller"
tt0109391,movie,Chaand Kaa Tukdaa,Chaand Kaa Tukdaa,0,1994,\N,155,"Action,Comedy,Crime"
tt0109555,movie,Darr,Darr,0,1993,\N,178,"Action,Drama,Romance"
tt0110076,movie,Hum Aapke Hain Koun..!,Hum Aapke Hain Koun..!,0,1994,\N,206,"Comedy,Drama,Musical"
tt0110222,movie,Kabhi Haan Kabhi Naa,Kabhi Haan Kabhi Naa,0,1994,\N,158,"Comedy,Drama,Music"
tt0111067,movie,Sangdil Sanam,Sangdil Sanam,0,1994,\N,156,"Drama,Romance"
tt0112870,movie,Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge,0,1995,\N,181,"Drama,Romance"
