nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222"
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013"
nm10541030,Salman Khan,\N,\N,\N,tt5988306
nm10645092,Shahrukh Khan,\N,\N,"actor,archive_sound","tt10432440,tt30877333,tt10235910"
nm10769898,Salman Khan,\N,\N,sound_department,tt9094282
nm11139823,Salman Khan,\N,\N,"assistant_director,miscellaneous","tt5080556,tt3148502,tt26745657,tt5978194"
nm11588799,Salman Khan,\N,\N,\N,tt11805062
nm11732284,Shahrukh Khan,\N,\N,archive_footage,\N
nm11810064,Salman Khan,\N,\N,actor,tt15114516
nm1184226,Salman Khan,\N,\N,"music_department,sound_department","tt0379370,tt0341455,tt0246687,tt0287537"
nm11930574,Salman Khan,\N,\N,actor,tt13168720
nm11967540,Shahrukh Khan,\N,\N,actor,"tt36750860,tt13224752,tt36750887"
nm12104009,Salman Khan,\N,\N,director,"tt13551618,tt13550698"
nm12107034,Salman Khan,\N,\N,director,"tt4885256,tt13551618"
nm12110086,Salman Khan,\N,\N,director,tt13551618
nm12448759,Salman Khan,\N,\N,\N,tt14356292
nm12496236,Shahrukh Khan,\N,\N,\N,tt2317751
nm12681461,Salman Khan,\N,\N,visual_effects,"tt0437086,tt11866324,tt3480822,tt6791350"
nm12747762,Shahrukh Khan,\N,\N,editor,tt15023430
nm12995499,Shahrukh Khan,\N,\N,actor,tt15548000
nm13174381,Salman Khan,\N,\N,actor,tt10945158
nm13401904,Salman Khan,\N,\N,producer,tt12392496
nm13405546,Salman Khan,\N,\N,miscellaneous,tt12392496
nm13450066,Salman Khan,\N,\N,production_manager,tt18225590
nm13543506,Shahrukh Khan,\N,\N,"production_manager,producer,miscellaneous","tt24245466,tt9176086,tt7291466,tt26931120"
nm13836829,Salman Khan,\N,\N,\N,\N
nm14080745,Salman Khan,\N,\N,actor,tt22299042
nm14087963,Salman Khan,\N,\N,miscellaneous,tt22336612
nm14144039,Salman Khan,\N,\N,actor,tt22796920
nm14153977,Salman Khan,\N,\N,miscellaneous,tt22807194
nm14253248,Shahrukh Khan,\N,\N,\N,tt5747326
nm14558621,Salman Khan,\N,\N,actor,tt26694669
nm14598634,Salman Khan,\N,\N,actor,tt26680565
nm14916706,Shahrukh Khan,\N,\N,\N,tt18069838
nm14976103,Shahrukh Khan,\N,\N,cinematographer,\N
nm15413144,Salman Khan,\N,\N,music_department,tt12661068
nm15660741,Shah Rukh Khan,\N,\N,actor,tt0313844
nm16192738,Salman Khan,\N,\N,camera_department,tt20854856
nm17063220,Salman Khan,\N,\N,"cinematographer,editor",tt35934496
nm17099001,Salman Khan,\N,\N,actor,tt9553284
nm2537892,Salman Khan,\N,\N,miscellaneous,tt0461936
nm4996197,Salman Khan,\N,\N,actor,tt2354223
nm6322549,Salman Khan,\N,\N,"producer,director,writer","tt9094282,tt10210114,tt9454892,tt3359290"
nm6731867,Salman Khan,\N,\N,assistant_director,"tt15404324,tt27853283,tt11969500"
nm6746162,Shah Rukh Khan,\N,\N,actor,tt4002280
nm7190918,Salman Khan,\N,\N,miscellaneous,"tt4538296,tt4524072"
nm7523307,Salman Khan,\N,\N,\N,\N
nm7691879,Shahrukh Khan,\N,\N,actor,tt5032564
nm7804062,Salman Khan,\N,\N,editor,tt4024858
nm8004341,Shahrukh Khan,\N,\N,animation_department,tt3576728
nm8194436,Salman Khan,\N,\N,"animation_department,visual_effects","tt10539608,tt10954652,tt10160804,tt2702920"
nm9413387,Salman Khan,\N,\N,actor,tt7624840
nm9430972,Shahrukh Khan,\N,\N,visual_effects,"tt12735488,tt12593682,tt16366836,tt15239678"
nm9536351,Salman Khan,\N,\N,actor,tt7838256
