nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,tconst,ordering,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0099080,1,actor,\N,"[""Saajan Sood""]",movie,Baaghi: A Rebel for Love,Baaghi: A Rebel for Love,0,1990,\N,157,"Action,Drama,Romance",5.8,1930
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0100095,1,actor,\N,"[""Prem Choudhary""]",movie,Maine Pyar Kiya,Maine Pyar Kiya,0,1989,\N,192,"Drama,Musical,Romance",7.3,13585
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0102645,1,actor,\N,"[""Suraj Verma""]",movie,Patthar Ke Phool,Patthar Ke Phool,0,1991,\N,155,"Action,Drama,Romance",5.5,1342
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0102746,3,actor,\N,"[""Akash Singh""]",movie,Kurbaan,Kurbaan,0,1991,\N,133,"Action,Drama,Romance",4.2,699
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0102825,3,actor,\N,"[""Akash Verma""]",movie,Saajan,Saajan,0,1991,\N,193,"Drama,Musical,Romance",7.2,7836
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0102835,1,actor,\N,"[""Salman Khan""]",movie,Sanam Bewafa,Sanam Bewafa,0,1991,\N,160,"Drama,Romance",5.2,1578
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0105007,2,actor,\N,"[""Vasudev Gujral""]",movie,Nishchaiy,Nishchaiy,0,1992,\N,146,"Action,Drama,Romance",4.4,668
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0105007,3,actor,\N,"[""Rohan Yadav""]",movie,Nishchaiy,Nishchaiy,0,1992,\N,146,"Action,Drama,Romance",4.4,668
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0105500,1,actor,\N,"[""Vicky""]",movie,Suryavanshi,Suryavanshi,0,1992,\N,161,"Action,Fantasy,Horror",4.4,1311
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0105500,2,actor,\N,"[""Suryavanshi Vikram Singh""]",movie,Suryavanshi,Suryavanshi,0,1992,\N,161,"Action,Fantasy,Horror",4.4,1311
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0106541,10,actor,\N,"[""Raja Rai""]",movie,Chandra Mukhi,Chandra Mukhi,0,1993,\N,152,"Comedy,Fantasy,Romance",4.0,941
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0106725,3,actor,\N,"[""Vijay""]",movie,Dil Tera Aashiq,Dil Tera Aashiq,0,1993,\N,151,"Comedy,Drama,Romance",4.9,962
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0107249,1,actor,\N,"[""Jugnu""]",movie,Jaagruti,Jaagruti,0,1993,\N,134,"Action,Drama",4.6,1227
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0109117,2,actor,\N,"[""Prem Bhopali""]",movie,Andaz Apna Apna,Andaz Apna Apna,0,1994,\N,160,"Action,Comedy,Romance",8.0,56702
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0109391,2,actor,\N,"[""Shyam S. Malhotra""]",movie,Chaand Kaa Tukdaa,Chaand Kaa Tukdaa,0,1994,\N,155,"Action,Comedy,Crime",3.9,825
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0110076,2,actor,\N,"[""Prem Nath""]",movie,Hum Aapke Hain Koun..!,Hum Aapke Hain Koun..!,0,1994,\N,206,"Comedy,Drama,Musical",7.5,23479
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0111067,7,actor,\N,"[""Kishan""]",movie,Sangdil Sanam,Sangdil Sanam,0,1994,\N,156,"Drama,Romance",4.2,738
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0113526,2,actor,\N,"[""Karan Singh""]",movie,Karan Arjun,Karan Arjun,0,1995,\N,175,"Action,Drama,Fantasy",6.8,16864
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0115019,1,actor,\N,"[""Gopal""]",movie,Yeh Majhdhaar,Yeh Majhdhaar,0,1996,\N,139,"Drama,Romance",5.1,1434
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0116153,9,self,\N,"[""Self""]",movie,Dushman Duniya Ka,Dushman Duniya Ka,0,1996,\N,153,Drama,3.3,788
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0116690,3,actor,\N,"[""Rajnath 'Raju' Sahay""]",movie,Jeet,Jeet,0,1996,\N,180,"Action,Romance",5.9,2807
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0116763,3,actor,\N,"[""Raj""]",movie,Khamoshi the Musical,Khamoshi: The Musical,0,1996,\N,160,"Drama,Musical,Romance",7.4,4848
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0118660,1,actor,\N,"[""Suraj Prakash""]",movie,Auzaar,Auzaar,0,1997,\N,127,"Action,Drama,Musical",4.6,1244
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0119428,1,actor,\N,"[""Raja Patekar""]",movie,Judwaa,Judwaa,0,1997,\N,138,"Action,Comedy,Drama",6.2,7372
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0119428,2,actor,\N,"[""Prem Malhotra""]",movie,Judwaa,Judwaa,0,1997,\N,138,"Action,Comedy,Drama",6.2,7372
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0150992,2,actor,\N,"[""Sameer""]",movie,Straight from the Heart,Hum Dil De Chuke Sanam,0,1999,\N,188,"Comedy,Drama,Musical",7.4,20471
