nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,tconst,ordering,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0101732,9,actor,\N,"[""Karan D. Singh""]",movie,Dil Aashna Hai (...The Heart Knows),Dil Aashna Hai (...The Heart Knows),0,1992,\N,164,"Drama,Romance",4.9,1912
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0106333,1,actor,\N,"[""Ajay Sharma""]",movie,Baazigar,Baazigar,0,1993,\N,175,"Crime,Drama,Musical",7.6,31055
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0107321,2,actor,\N,"[""Anil Bansal""]",movie,King Uncle,King Uncle,0,1993,\N,171,"Comedy,Drama,Family",5.3,3249
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0109134,2,actor,\N,"[""Vijay Agnihotri""]",movie,Anjaam,Anjaam,0,1994,\N,170,"Crime,Drama,Thriller",6.6,7574
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0109555,3,actor,\N,"[""Rahul Mehra""]",movie,Darr,Darr,0,1993,\N,178,"Action,Drama,Romance",7.6,26301
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0110222,1,actor,\N,"[""Sunil""]",movie,Kabhi Haan Kabhi Naa,Kabhi Haan Kabhi Naa,0,1994,\N,158,"Comedy,Drama,Music",7.6,19947
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0112870,1,actor,\N,"[""Raj Malhotra""]",movie,Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge,0,1995,\N,181,"Drama,Romance",8.0,80124
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0113526,3,actor,\N,"[""Arjun Singh""]",movie,Karan Arjun,Karan Arjun,0,1995,\N,175,"Action,Drama,Fantasy",6.8,16864
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0114031,1,actor,\N,"[""Hero""]",movie,Oh Darling Yeh Hai India,Oh Darling Yeh Hai India,0,1995,\N,160,Comedy,4.0,2026
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0114231,1,actor,\N,"[""Ram Jaane""]",movie,Ram Jaane,Ram Jaane,0,1995,\N,122,"Action,Crime,Drama",5.4,4611
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0114726,4,actor,\N,"[""Romi Singh""]",movie,Trimurti,Trimurti,0,1995,\N,187,"Action,Drama",4.8,3120
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0114726,5,actor,\N,"[""Bholey""]",movie,Trimurti,Trimurti,0,1995,\N,187,"Action,Drama",4.8,3120
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0115042,3,actor,\N,"[""Rahul Malhotra""]",movie,Zamaana Deewana,Zamaana Deewana,0,1995,\N,162,"Action,Comedy,Drama",4.7,2268
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0115568,2,actor,\N,"[""Arjun""]",movie,Army,Army,0,1996,\N,153,"Action,Drama",4.4,2005
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0116153,10,actor,\N,"[""Badru (Rickshaw driver)""]",movie,Dushman Duniya Ka,Dushman Duniya Ka,0,1996,\N,153,Drama,3.3,788
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0118983,1,actor,\N,"[""Rahul""]",movie,Dil To Pagal Hai,Dil To Pagal Hai,0,1997,\N,180,"Comedy,Drama,Musical",7.0,25451
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0119861,1,actor,\N,"[""Arjun Saagar""]",movie,Pardes,Pardes,0,1997,\N,191,"Drama,Musical,Romance",6.9,16666
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0120540,1,actor,\N,"[""Rahul Joshi""]",movie,Yes Boss,Yes Boss,0,1997,\N,163,"Comedy,Drama,Musical",6.7,14731
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0126234,2,actor,\N,"[""Sunder Srivastava""]",movie,Chamatkar,Chamatkar,0,1992,\N,171,"Comedy,Drama,Fantasy",6.5,7443
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0126871,3,actor,\N,"[""Raja Sahai""]",movie,Deewana,Deewana,0,1992,\N,185,"Action,Comedy,Drama",6.7,7788
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0136153,1,actor,\N,"[""Vikram""]",movie,English Babu Desi Mem,English Babu Desi Mem,0,1996,\N,170,"Comedy,Drama,Musical",4.6,2789
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0136153,2,actor,\N,"[""Hari""]",movie,English Babu Desi Mem,English Babu Desi Mem,0,1996,\N,170,"Comedy,Drama,Musical",4.6,2789
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0136153,3,actor,\N,"[""Gopal Mayur""]",movie,English Babu Desi Mem,English Babu Desi Mem,0,1996,\N,170,"Comedy,Drama,Musical",4.6,2789
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0136352,1,actor,\N,"[""Shanker""]",movie,Koyla,Koyla,0,1997,\N,166,"Action,Drama,Musical",6.2,10336
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0137100,4,actor,\N,"[""Lalit""]",movie,Maya,Maya Memsaab,0,1993,\N,130,"Drama,Mystery,Romance",5.4,2466
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0151150,1,actor,\N,"[""Max 'Maxie' Dias""]",movie,Josh,Josh,0,2000,\N,162,"Action,Drama,Musical",6.1,11434
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0164538,1,actor,\N,"[""Amarkanth Varma""]",movie,Dil Se..,Dil Se..,0,1998,\N,163,"Drama,Romance",7.5,32439
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0164550,1,actor,\N,"[""Bablu Chaudhary""]",movie,Duplicate,Duplicate,0,1998,\N,164,"Action,Comedy,Crime",5.6,8935
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0164550,2,actor,\N,"[""Manu Dada""]",movie,Duplicate,Duplicate,0,1998,\N,164,"Action,Comedy,Crime",5.6,8935
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0172234,2,actor,\N,"[""Roop Singh Rathod""]",movie,Chaahat,Chaahat,0,1996,\N,151,"Drama,Romance",5.5,3407
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0172519,4,actor,\N,"[""Guddu Bahadur""]",movie,Guddu,Guddu,0,1995,\N,160,"Drama,Romance",4.1,2648
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0172684,1,actor,\N,"[""Rahul Khanna""]",movie,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,0,1998,\N,185,"Comedy,Drama,Musical",7.5,59566
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0173102,1,actor,\N,"[""Raj Mathur 'Raju'""]",movie,Raju Ban Gaya Gentleman,Raju Ban Gaya Gentleman,0,1992,\N,152,"Comedy,Drama,Musical",6.7,8612
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0211934,1,actor,\N,"[""Raj 'Baadshah'""]",movie,Baadshah,Baadshah,0,1999,\N,175,"Action,Comedy,Crime",6.9,21181
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0213890,2,actor,\N,"[""Raj Aryan Malhotra""]",movie,Mohabbatein,Mohabbatein,0,2000,\N,216,"Drama,Musical,Romance",7.0,35156
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0221982,12,actor,\N,"[""Shahrukh""]",movie,Gaja Gamini,Gaja Gamini,0,2000,\N,122,"Drama,Fantasy",4.6,823
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0222012,2,actor,\N,"[""Amjad Ali Khan""]",movie,Hey Ram,Hey Ram,0,2000,\N,186,"Crime,Drama,History",8.0,14593
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0222024,1,actor,\N,"[""Gopal""]",movie,Hum Tumhare Hain Sanam,Hum Tumhare Hain Sanam,0,2002,\N,174,"Comedy,Drama,Romance",5.4,8068
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0222270,1,actor,\N,"[""Ajay Bakshi""]",movie,Phir Bhi Dil Hai Hindustani,Phir Bhi Dil Hai Hindustani,0,2000,\N,160,"Comedy,Drama,Musical",6.2,9059
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0222270,16,producer,producer,\N,movie,Phir Bhi Dil Hai Hindustani,Phir Bhi Dil Hai Hindustani,0,2000,\N,160,"Comedy,Drama,Musical",6.2,9059
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0227194,1,actor,\N,"[""Arun Verma""]",movie,One 2 Ka 4,One 2 Ka 4,0,2001,\N,169,"Action,Crime,Drama",5.5,5944
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0238936,1,actor,\N,"[""Devdas Mukherji""]",movie,Devdas,Devdas,0,2002,\N,185,"Drama,Musical,Romance",7.5,48905
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0248126,1,actor,\N,"[""Rahul Raichand""]",movie,Kabhi Khushi Kabhie Gham...,Kabhi Khushi Kabhie Gham...,0,2001,\N,210,"Drama,Musical,Romance",7.4,59610
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0249371,1,actor,\N,"[""Asoka""]",movie,Asoka,Asoka,0,2001,\N,180,"Action,Biography,Drama",6.4,15788
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0249371,15,producer,producer,\N,movie,Asoka,Asoka,0,2001,\N,180,"Action,Biography,Drama",6.4,15788
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0296535,10,self,\N,"[""Self""]",movie,Bollywood Bound,Bollywood Bound,0,2002,\N,88,Documentary,6.1,918
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0330843,3,actor,\N,"[""Yeshwant Rao""]",movie,Saathiya,Saathiya,0,2002,\N,138,"Drama,Family,Romance",6.8,8066
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0331639,5,actor,\N,"[""Jaisingh (Drifter)""]",movie,Shakthi: The Power,Shakthi: The Power,0,2002,\N,170,"Action,Drama,Thriller",6.1,5543
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0346723,1,actor,\N,"[""Raj Mathur""]",movie,Chalte Chalte,Chalte Chalte,0,2003,\N,167,"Drama,Romance",6.5,17243
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0346723,17,producer,producer,\N,movie,Chalte Chalte,Chalte Chalte,0,2003,\N,167,"Drama,Romance",6.5,17243
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0347304,2,actor,\N,"[""Aman Mathur""]",movie,Kal Ho Naa Ho,Kal Ho Naa Ho,0,2003,\N,186,"Comedy,Drama,Musical",7.9,78439
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0347473,1,actor,\N,"[""Maj. Ram Prasad Sharma""]",movie,Main Hoon Na,Main Hoon Na,0,2004,\N,182,"Action,Comedy,Drama",7.1,42302
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0347473,16,producer,producer,\N,movie,Main Hoon Na,Main Hoon Na,0,2004,\N,182,"Action,Comedy,Drama",7.1,42302
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0367110,1,actor,\N,"[""Mohan Bhargava""]",movie,Swades,"Swades: We, the People",0,2004,\N,189,"Drama,Musical",8.2,101649
