tconst,ordering,nconst,category,job,characters
tt0099080,1,nm0006795,actor,\N,"[""Saajan Sood""]"
tt0099080,12,nm0006795,writer,idea,\N
tt0100095,1,nm0006795,actor,\N,"[""Prem Choudhary""]"
tt0101732,9,nm0451321,actor,\N,"[""Karan D. Singh""]"
tt0102645,1,nm0006795,actor,\N,"[""Suraj Verma""]"
tt0102746,3,nm0006795,actor,\N,"[""Akash Singh""]"
tt0102825,3,nm0006795,actor,\N,"[""Akash Verma""]"
tt0102835,1,nm0006795,actor,\N,"[""Salman Khan""]"
tt0104478,1,nm0451321,actor,\N,"[""Pawan Raghujan""]"
tt0105007,2,nm0006795,actor,\N,"[""Vasudev Gujral""]"
tt0105007,3,nm0006795,actor,\N,"[""Rohan Yadav""]"
tt0105500,1,nm0006795,actor,\N,"[""Vicky""]"
tt0105500,2,nm0006795,actor,\N,"[""Suryavanshi Vikram Singh""]"
tt0106333,1,nm0451321,actor,\N,"[""Ajay Sharma""]"
tt0106541,10,nm0006795,actor,\N,"[""Raja Rai""]"
tt0106541,13,nm0006795,writer,idea,\N
tt0106725,3,nm0006795,actor,\N,"[""Vijay""]"
tt0107249,1,nm0006795,actor,\N,"[""Jugnu""]"
tt0107321,2,nm0451321,actor,\N,"[""Anil Bansal""]"
tt0109117,2,nm0006795,actor,\N,"[""Prem Bhopali""]"
tt0109134,2,nm0451321,actor,\N,"[""Vijay Agnihotri""]"
tt0109391,2,nm0006795,actor,\N,"[""Shyam S. Malhotra""]"
tt0109555,3,nm0451321,actor,\N,"[""Rahul Mehra""]"
tt0110076,2,nm0006795,actor,\N,"[""Prem Nath""]"
tt0110222,1,nm0451321,actor,\N,"[""Sunil""]"
tt0111067,7,nm0006795,actor,\N,"[""Kishan""]"
tt0112870,1,nm0451321,actor,\N,"[""Raj Malhotra""]"
tt0113526,2,nm0006795,actor,\N,"[""Karan Singh""]"
tt0113526,3,nm0451321,actor,\N,"[""Arjun Singh""]"
tt0114031,1,nm0451321,actor,\N,"[""Hero""]"
tt0114231,1,nm0451321,actor,\N,"[""Ram Jaane""]"
tt0114726,4,nm0451321,actor,\N,"[""Romi Singh""]"
tt0114726,5,nm0451321,actor,\N,"[""Bholey""]"
tt0115019,1,nm0006795,actor,\N,"[""Gopal""]"
tt0115042,3,nm0451321,actor,\N,"[""Rahul Malhotra""]"
tt0115568,2,nm0451321,actor,\N,"[""Arjun""]"
tt0116153,9,nm0006795,self,\N,"[""Self""]"
tt0116153,10,nm0451321,actor,\N,"[""Badru (Rickshaw driver)""]"
tt0116690,3,nm0006795,actor,\N,"[""Rajnath 'Raju' Sahay""]"
tt0116763,3,nm0006795,actor,\N,"[""Raj""]"
tt0118660,1,nm0006795,actor,\N,"[""Suraj Prakash""]"
tt0118983,1,nm0451321,actor,\N,"[""Rahul""]"
tt0119428,1,nm0006795,actor,\N,"[""Raja Patekar""]"
tt0119428,2,nm0006795,actor,\N,"[""Prem Malhotra""]"
tt0119861,1,nm0451321,actor,\N,"[""Arjun Saagar""]"
tt0120540,1,nm0451321,actor,\N,"[""Rahul Joshi""]"
tt0126234,2,nm0451321,actor,\N,"[""Sunder Srivastava""]"
tt0126871,3,nm0451321,actor,\N,"[""Raja Sahai""]"
tt0136153,1,nm0451321,actor,\N,"[""Vikram""]"
tt0136153,2,nm0451321,actor,\N,"[""Hari""]"
tt0136153,3,nm0451321,actor,\N,"[""Gopal Mayur""]"
tt0136352,1,nm0451321,actor,\N,"[""Shanker""]"
tt0137100,4,nm0451321,actor,\N,"[""Lalit""]"
tt0150992,2,nm0006795,actor,\N,"[""Sameer""]"
tt0151150,1,nm0451321,actor,\N,"[""Max 'Maxie' Dias""]"
tt0164538,1,nm0451321,actor,\N,"[""Amarkanth Varma""]"
tt0164550,1,nm0451321,actor,\N,"[""Bablu Chaudhary""]"
tt0164550,2,nm0451321,actor,\N,"[""Manu Dada""]"
tt0168516,8,nm0006795,actor,\N,"[""Vicky Bhandari""]"
tt0172234,2,nm0451321,actor,\N,"[""Roop Singh Rathod""]"
tt0172519,4,nm0451321,actor,\N,"[""Guddu Bahadur""]"
tt0172684,1,nm0451321,actor,\N,"[""Rahul Khanna""]"
tt0172684,4,nm0006795,actor,\N,"[""Aman Mehra""]"
tt0173080,1,nm0006795,actor,\N,"[""Suraj Khanna""]"
tt0173102,1,nm0451321,actor,\N,"[""Raj Mathur 'Raju'""]"
tt0182251,1,nm0006795,actor,\N,"[""Suraj Dhanrajgir""]"
tt0207341,2,nm0006795,actor,\N,"[""Prem Mehra""]"
tt0211934,1,nm0451321,actor,\N,"[""Raj 'Baadshah'""]"
tt0213890,2,nm0451321,actor,\N,"[""Raj Aryan Malhotra""]"
tt0214815,6,nm0006795,self,\N,"[""Self""]"
tt0216817,2,nm0006795,actor,\N,"[""Prem Chaturvedi""]"
tt0221982,12,nm0451321,actor,\N,"[""Shahrukh""]"
tt0222012,2,nm0451321,actor,\N,"[""Amjad Ali Khan""]"
tt0222024,1,nm0451321,actor,\N,"[""Gopal""]"
tt0222024,3,nm0006795,actor,\N,"[""Suraj""]"
tt0222270,1,nm0451321,actor,\N,"[""Ajay Bakshi""]"
tt0222270,16,nm0451321,producer,producer,\N
tt0226847,1,nm0006795,actor,\N,"[""Rahul""]"
tt0227194,1,nm0451321,actor,\N,"[""Arun Verma""]"
tt0233856,1,nm0006795,actor,\N,"[""Hero""]"
tt0238936,1,nm0451321,actor,\N,"[""Devdas Mukherji""]"
tt0244794,5,nm0006795,actor,\N,"[""Prem (Special Appearance)""]"
tt0245825,2,nm0006795,actor,\N,"[""Prem Oberoi""]"
tt0247992,1,nm0006795,actor,\N,"[""Raja Oberoi""]"
tt0248126,1,nm0451321,actor,\N,"[""Rahul Raichand""]"
tt0249371,1,nm0451321,actor,\N,"[""Asoka""]"
tt0249371,15,nm0451321,producer,producer,\N
tt0250415,1,nm0006795,actor,\N,"[""Raj (Raju)""]"
tt0250415,2,nm0006795,actor,\N,"[""Romi""]"
tt0250875,4,nm0451321,self,\N,"[""Self""]"
tt0250875,5,nm0451321,self,\N,"[""Self - Host""]"
tt0256692,1,nm0006795,actor,\N,"[""Raj Malhotra""]"
tt0268401,2,nm0006795,actor,\N,"[""Prem Kapoor""]"
tt0273452,2,nm0006795,actor,\N,"[""Raju""]"
tt0273672,7,nm0451321,self,\N,"[""Self""]"
tt0288364,1,nm0451321,self,\N,"[""Self""]"
tt0291883,1,nm0006795,actor,\N,"[""Raja""]"
